Name,Team,Position,Age,Exp,Pick,ADP,Std-Dev,High,Lot,Times-Drafted
New England Patriots,NEP,DST,49,49,14.07,162.8,11.8,7.1,15.12,288
Cleveland Browns,CLE,DST,49,49,14.07,162.8,29.1,1.12,16.1,32
Jacksonville Jaguars,JAC,DST,49,49,8.08,91.7,8.4,4.11,9.1,540
Pittsburgh Steelers,PIT,DST,49,49,14.08,163.9,14.2,3.04,16.06,245
Denver Broncos,DEN,DST,49,49,12.08,139.7,10.2,10.01,14.12,183
Kansas City Chiefs,KCC,DST,49,49,14.1,166.4,7.6,13.07,15.11,31
Los Angeles Chargers,LAC,DST,49,49,11.02,122.2,8.8,8.05,14.04,198
Philadelphia Eagles,PHI,DST,49,49,10.09,117.2,8.1,7.11,12.08,197
Arizona Cardinals,ARI,DST,49,49,14.11,167.4,10.9,12.03,16.02,75
Chicago Bears,CHI,DST,49,49,14.05,160.7,12.8,11.05,17.1,158
Detroit Lions,DET,DST,49,49,15.03,170.9,7.2,13.06,15.11,31
Minnesota Vikings,MIN,DST,49,49,9.12,108.4,13.3,1.01,12.03,254
Atlanta Falcons,ATL,DST,49,49,14.11,166.5,8.6,13.01,16.12,121
Carolina Panthers,CAR,DST,49,49,14.03,158.7,11.6,10.11,15.12,266
Los Angeles Rams,LAR,DST,49,49,9.05,101.3,7.6,7.02,11.02,297
New Orleans Saints,NOS,DST,49,49,13.01,145.5,11.5,11.01,15.12,199
Baltimore Ravens,BAL,DST,49,49,11.1,129.9,8.8,9.04,13.07,157
Houston Texans,HOU,DST,49,49,11.08,128.4,7.5,9.1,13.04,173
Adam Vinatieri,IND,K,47,23,15.05,172.7,5.2,14.01,16.02,78
Drew Brees,NOS,QB,40,18,6.05,64.5,7.5,3.02,7.11,371
Sebastian Janikowski,FA,K,41,19,15.04,171.6,4.5,14.06,15.11,25
Tom Brady,NEP,QB,42,19,5.04,52.1,8.5,1.03,6.12,413
Matt Bryant,FA,K,44,17,14.1,166.5,7.1,13.04,16.07,132
Eli Manning,NYG,QB,38,15,13.12,156.1,16.1,3.08,15.12,163
Larry Fitzgerald,ARI,WR,36,15,4.07,43,4.3,3.02,6.01,549
Philip Rivers,LAC,QB,38,15,9.08,104.4,9.2,7.01,11.07,558
Ben Roethlisberger,PIT,QB,37,15,10.04,112.5,11.6,2.09,12.02,467
Ben Watson,NEP,TE,39,15,14.02,157.7,20.2,10.07,15.12,26
Alex Smith,WAS,QB,35,14,12.03,134.8,10.6,8.12,14.08,236
Aaron Rodgers,GBP,QB,36,14,3.06,30.5,6,1.02,4.12,551
Frank Gore,BUF,RB,36,14,14.06,162.3,17.5,9.1,16.1,66
Robbie Gould,SFO,K,37,14,15.04,172.2,4.9,13.1,16.03,143
Stephen Gostkowski,NEP,K,35,13,13.03,147,13.2,6.06,14.04,362
Delanie Walker,TEN,TE,35,13,7.11,83.3,8,6.03,10.04,342
Adrian Peterson,WAS,RB,34,12,8.03,86.7,11.9,4.04,11.09,786
Marshawn Lynch,FA,RB,33,12,4.07,43.1,4.5,2.1,5.1,612
Greg Olsen,CAR,TE,34,12,6.01,61.4,6.6,3.02,8.08,402
Mason Crosby,GBP,K,35,12,15.02,169.8,8.1,9.02,16.02,135
Matt Prater,DET,K,35,13,15.02,170.3,5,13.07,16.03,160
Matt Ryan,ATL,QB,34,11,10.02,109.7,10.4,6.11,11.1,515
Jordy Nelson,FA,WR,34,11,8.04,87.7,8.5,5.1,9.09,343
Pierre Garcon,FA,WR,33,11,10.08,116.5,9,7.1,12.04,297
Danny Amendola,DET,WR,34,11,14.07,162.6,16.7,9.03,16.02,57
Michael Crabtree,FA,WR,32,10,7.06,77.5,7,5.03,9.02,531
Matthew Stafford,DET,QB,31,10,8.12,95.9,10.7,4.02,11.02,465
LeSean McCoy,BUF,RB,31,10,3.04,28.3,4.1,2.02,4.05,592
Julian Edelman,NEP,WR,33,10,7.04,76.2,7.9,3.12,9.03,539
Graham Gano,CAR,K,32,10,15.07,175.2,5.7,14.07,17.07,46
Golden Tate,NYG,WR,31,9,6.07,67,6.1,4.1,8.02,580
Demaryius Thomas,NEP,WR,32,9,5.04,52.2,4.9,4.02,7.02,554
LeGarrette Blount,FA,RB,33,9,9.07,103.1,11.1,5.1,11.06,205
Rob Gronkowski,FA,TE,30,9,2.09,21.4,3.2,1.02,3.07,659
Emmanuel Sanders,DEN,WR,32,9,6.11,70.8,7.1,4.06,8.09,694
Jimmy Graham,GBP,TE,33,9,5.02,49.7,6.3,3.02,6.09,408
Antonio Brown,OAK,WR,31,9,1.06,6.5,1.7,1.01,2.02,673
A.J. Green,CIN,WR,31,8,2.11,22.8,2.4,2.04,3.07,759
Julio Jones,ATL,WR,30,8,2.03,15.1,2.3,1.04,2.1,696
Cam Newton,CAR,QB,30,8,6.07,67.3,8.2,1.04,9.04,377
Mark Ingram,BAL,RB,30,8,4.08,44.1,4.9,3.01,5.12,599
Randall Cobb,DAL,WR,29,8,9.03,98.6,8.6,6.03,10.1,310
Kyle Rudolph,MIN,TE,30,8,7.06,77.5,8.5,5.01,10.11,346
Andy Dalton,CIN,QB,32,8,14.04,160.4,15.1,10.05,15.12,68
Bilal Powell,NYJ,RB,31,8,12.03,135.4,15.7,7.1,15.11,502
Dion Lewis,TEN,RB,29,8,6.01,61.5,7.4,3.07,7.11,520
Tyrod Taylor,LAC,QB,30,8,14.02,158.4,32.3,1.11,16.03,36
Dan Bailey,MIN,K,31,8,15.03,171.4,6.5,12.04,16.05,106
Doug Baldwin,FA,WR,31,8,3.11,35,4.4,2.11,5.06,564
Andrew Luck,IND,QB,30,7,8.02,86.5,9.9,3.01,10.06,374
Kirk Cousins,MIN,QB,31,7,7.1,82.1,9.1,4.11,10.02,347
Russell Wilson,SEA,QB,31,7,5.1,57.9,7.5,1.01,7.03,396
Lamar Miller,HOU,RB,28,7,3.11,34.7,4.3,2.11,5.06,753
Doug Martin,OAK,RB,30,7,12.09,141.1,13.9,9.03,15.09,236
Alshon Jeffery,PHI,WR,29,7,6.12,72.3,8,5.02,9.05,366
Mohamed Sanu,ATL,WR,30,7,13.05,149.3,31.6,6.1,19.01,28
T.Y. Hilton,IND,WR,30,7,3.06,29.8,3.7,2.05,4.05,641
Marvin Jones,DET,WR,29,7,5.1,58.3,5.7,4.03,8.02,588
Greg Zuerlein,LAR,K,32,7,13.01,144.5,13.7,1.09,14.05,656
Alfred Morris,FA,RB,31,7,11.08,127.6,31.9,3.01,17.03,427
Rishard Matthews,NOS,WR,30,7,14.12,168.5,11.2,11.03,16.1,52
Case Keenum,WAS,QB,31,7,14.08,164.4,12.3,11.12,16.09,44
Josh Gordon,NEP,WR,28,7,4.08,43.7,5.7,2.06,5.12,487
Justin Tucker,BAL,K,30,7,13.08,151.5,11.2,4.01,14.07,216
Chris Hogan,CAR,WR,31,8,4.1,46.1,4.7,2.04,5.11,649
Rex Burkhead,NEP,RB,29,6,5.1,58.2,6.6,3.12,7.11,530
Chris Thompson,WAS,RB,29,6,8.07,90.7,8.6,5.04,10.02,372
Le'Veon Bell,NYJ,RB,27,6,1.03,2.6,0.9,1.01,1.05,699
Giovani Bernard,CIN,RB,28,6,13.11,155.3,17.8,8.1,16.05,252
Spencer Ware,IND,RB,28,6,14.08,164.2,16.6,10.03,17.01,86
Keenan Allen,LAC,WR,27,6,2.09,20.7,2.3,1.12,3.06,681
Kenny Stills,MIA,WR,27,6,10.02,109.6,9.7,6.12,12.01,516
Robert Woods,LAR,WR,27,6,9.11,107,9.7,6.07,11.05,316
DeAndre Hopkins,HOU,WR,27,6,1.11,11.1,1.9,1.03,2.05,699
Marquise Goodwin,SFO,WR,29,6,5.06,54.3,5.2,3.09,6.08,682
Travis Kelce,KCC,TE,30,6,3.1,33.6,4.6,2.03,4.11,601
Zach Ertz,PHI,TE,29,6,4.09,44.8,5.4,2.01,5.1,530
Jordan Reed,WAS,TE,29,6,8.1,94.3,11.6,6.05,12.03,385
Tyler Eifert,CIN,TE,29,6,13.03,146.9,19.9,6.01,16.04,521
Latavius Murray,NOS,RB,29,6,10.02,110,11.5,6.02,12.06,337
C.J. Anderson,DET,RB,28,6,9.12,108,10.8,6.03,12.1,211
Jack Doyle,IND,TE,29,6,12.02,133.7,19,4.12,15.05,561
Derek Carr,OAK,QB,28,5,12.05,137.1,12,8.03,15.02,188
Jeremy Hill,FA,RB,27,5,14.08,164.4,14.5,11.06,15.12,20
Carlos Hyde,KCC,RB,29,5,5.01,48.5,5.7,3.02,6.12,763
Devonta Freeman,ATL,RB,27,5,2.05,17.3,2.4,1.09,3.01,650
Isaiah Crowell,OAK,RB,26,5,7.06,78.4,8.8,5.01,9.06,517
Sammy Watkins,KCC,WR,26,5,7.1,81.7,7.4,5.1,9.05,451
Mike Evans,TBB,WR,26,5,3.03,26.8,2.8,2.07,4.01,529
Kelvin Benjamin,FA,WR,28,5,9.08,104.4,8.7,6.09,11.04,282
Brandin Cooks,LAR,WR,26,5,4.12,48.4,5.1,3.06,6.03,541
Davante Adams,GBP,WR,27,5,2.07,19.1,2.5,1.12,3.05,711
Donte Moncrief,PIT,WR,26,5,14.02,158.4,18.7,10.03,16.1,34
Allen Robinson,CHI,WR,26,5,5.09,56.5,5.6,4.01,7.01,568
Odell Beckham,CLE,WR,27,5,1.12,12.3,2.1,1.02,2.05,698
Jarvis Landry,CLE,WR,27,5,5.06,53.5,5.2,3.11,6.07,618
Martavis Bryant,FA,WR,28,5,14.06,162,13,11.04,15.12,115
Eric Ebron,IND,TE,26,5,13.12,155.7,19.3,9.05,16.02,87
Trey Burton,CHI,TE,28,5,6.09,69.3,7.1,5.04,9.02,470
James White,NEP,RB,27,5,11.01,121.1,13.8,3.11,12.12,366
Jimmy Garoppolo,SFO,QB,28,5,9.02,97.7,11.2,3.05,11.01,358
Jerick McKinnon,SFO,RB,27,5,3.08,31.9,4.1,2.05,4.08,524
John Brown,BUF,WR,29,5,11.07,126.7,10.3,7.08,13.02,282
Allen Hurns,DAL,WR,28,5,11.05,125,10.3,7.03,13.01,267
Chris Boswell,PIT,K,30,5,14.1,166.3,14.2,4.09,15.12,123
Adam Thielen,MIN,WR,29,5,4.02,38.2,4.3,2.04,5.03,644
Brandon McManus,DEN,K,28,5,15.04,171.7,3.7,14.06,15.11,37
Jameis Winston,TBB,QB,25,4,13.11,154.8,13.7,9.01,15.11,178
Marcus Mariota,TEN,QB,26,4,12.01,133.5,9.9,8.08,14.05,213
Todd Gurley,LAR,RB,25,4,1.01,1.4,0.6,1.01,1.04,709
Melvin Gordon,LAC,RB,26,4,1.09,8.8,1.7,1.03,2.03,793
Tevin Coleman,SFO,RB,26,4,6.12,71.7,8.1,4.1,8.12,562
T.J. Yeldon,BUF,RB,26,4,14.03,159.1,16.9,11.06,15.12,67
Jay Ajayi,FA,RB,26,4,4.03,39.3,5.3,2.09,6.02,647
Duke Johnson,CLE,RB,26,4,11.09,129,13.6,5.1,15.08,328
David Johnson,ARI,RB,28,4,1.03,3.4,1.2,1.01,1.09,635
Amari Cooper,DAL,WR,25,4,3.12,36,4.2,2.07,4.11,682
DeVante Parker,MIA,WR,26,4,12.08,140.4,13.5,7.11,15.06,162
Nelson Agholor,PHI,WR,26,4,9.02,98.2,9.3,4.04,10.12,482
Jamison Crowder,NYJ,WR,26,4,9.12,108.4,8.1,7.08,11.07,376
Stefon Diggs,MIN,WR,26,4,3.04,28.2,3.2,2.06,4.01,585
Tyler Lockett,SEA,WR,27,4,12.05,136.9,11.5,8.09,14.08,242
Devin Funchess,IND,WR,25,4,8.05,88.6,8.9,5.1,10.04,495
Ty Montgomery,NYJ,RB,26,4,11.07,127.5,14,7.03,15.02,211
Tyrell Williams,OAK,WR,27,4,14.08,163.9,18.4,9.03,16.08,64
Cameron Meredith,NOS,WR,27,4,12.01,132.5,10.6,7.08,14.06,180
Carson Wentz,PHI,QB,27,3,7.09,81.4,9.9,4.09,9.1,277
Jared Goff,LAR,QB,25,3,11.05,125.2,10.1,6.1,13.07,323
Dak Prescott,DAL,QB,26,3,13.08,151.7,16.5,2.12,16.06,191
Ezekiel Elliott,DAL,RB,24,3,1.04,3.7,1.3,1.01,1.08,629
Derrick Henry,TEN,RB,25,3,3.01,24.5,3.9,1.12,3.12,459
Alex Collins,FA,RB,25,3,3.02,25.9,3.6,2.04,4.02,589
Devontae Booker,DEN,RB,27,3,12.11,142.8,15.3,8.06,15.06,283
Kenyan Drake,MIA,RB,25,3,3.12,35.5,4.5,2.04,4.12,857
Jordan Howard,PHI,RB,25,3,2.04,15.9,2.5,1.08,2.11,671
Peyton Barber,TBB,RB,25,3,6.1,70.2,9.3,3.12,9.04,853
Will Fuller,HOU,WR,25,3,6.08,67.6,6.5,4.02,8.08,503
Josh Doctson,WAS,WR,27,3,14.01,156.5,15.2,9.06,16.03,160
Michael Thomas,NOS,WR,26,3,2.06,18.1,2.5,1.1,3.06,739
Sterling Shepard,NYG,WR,26,3,10.1,118.2,10.2,6.03,12.09,385
Geronimo Allison,GBP,WR,25,3,13.08,151.7,13.7,8.01,15.06,223
Austin Hooper,ATL,TE,25,3,14.01,157.1,17.5,10.04,15.12,35
Tyreek Hill,KCC,WR,25,3,3.04,27.9,3.6,2.01,4.03,695
Rob Kelley,WAS,RB,27,3,13.07,151.2,19.5,8.06,16.08,101
Robby Anderson,NYJ,WR,26,3,8.04,87.8,8.5,4.01,10.04,547
Wil Lutz,NOS,K,25,3,14.04,159.9,5,12.03,15.11,136
Deshaun Watson,HOU,QB,24,2,4.06,42.4,7.1,2.01,6.06,406
Mitchell Trubisky,CHI,QB,25,2,14.03,159.2,14.2,9.07,16.06,86
Patrick Mahomes,KCC,QB,24,2,10.08,115.8,10,6.09,12.1,496
Dalvin Cook,MIN,RB,24,2,2.01,13.2,2,1.06,2.08,690
Leonard Fournette,JAC,RB,24,2,1.08,7.8,1.7,1.01,2.01,708
Christian McCaffrey,CAR,RB,23,2,2.02,14,2,1.07,2.1,736
Joe Mixon,CIN,RB,23,2,2.09,20.8,2.9,2.01,3.06,632
Alvin Kamara,NOS,RB,23,2,1.07,6.8,1.6,1.01,1.12,642
D'Onta Foreman,HOU,RB,23,2,13.12,155.8,19.9,8.02,16.03,92
Corey Clement,PHI,RB,25,2,10.08,116.4,11.4,7.01,12.11,337
Kareem Hunt,CLE,RB,24,2,1.1,10,1.9,1.04,2.04,711
Jamaal Williams,GBP,RB,24,2,5.07,55.1,7.1,3.05,7.07,784
James Conner,PIT,RB,24,2,13.11,154.9,17.2,5.03,16.06,320
Corey Davis,TEN,WR,24,2,6.05,64.6,5.4,3.12,7.1,572
Mike Williams,LAC,WR,25,2,9.04,99.8,7.9,6.03,10.09,475
John Ross,CIN,WR,24,2,13.1,154.2,17.4,5.1,15.12,298
JuJu Smith-Schuster,PIT,WR,23,2,4.04,40.4,4.5,1.04,5.1,569
Dede Westbrook,JAC,WR,26,2,14.04,160.1,18.4,1.11,15.11,144
Chris Godwin,TBB,WR,23,2,13.02,146.3,17.5,6.02,15.12,228
Cooper Kupp,LAR,WR,26,2,8.09,92.6,8.6,5.09,10.04,483
O.J. Howard,TBB,TE,25,2,13.1,153.6,20.4,7.11,16.02,271
Evan Engram,NYG,TE,25,2,7.01,72.8,7.9,4.12,8.08,329
David Njoku,CLE,TE,23,2,9.06,102.5,13.3,5.01,12.11,434
Marlon Mack,IND,RB,23,2,7.12,84.3,8.9,4.09,9.08,476
Kenny Golladay,DET,WR,26,2,11.05,124.5,10.7,6.06,12.12,294
Tarik Cohen,CHI,RB,24,2,8.12,95.6,8.8,5.04,10.11,252
George Kittle,SFO,TE,26,2,11.09,128.7,15.9,6.12,15.02,572
Jake Elliott,PHI,K,24,2,14.08,164.4,8.6,10.1,15.12,131
Aaron Jones,GBP,RB,25,2,8.03,87.5,7.4,6.01,9.11,429
Harrison Butker,KCC,K,24,2,14.11,167.1,7.6,12.05,16.07,129
Chris Carson,SEA,RB,25,2,6.01,60.6,6.6,3.04,7.11,695
Matt Breida,SFO,RB,24,2,12.1,141.7,22.5,1.01,15.12,503
Ricky Seals-Jones,ARI,TE,24,2,14.07,163,14.3,11.05,16.01,58
Austin Ekeler,LAC,RB,24,2,14.04,160.3,16.8,9.08,16.1,136
Keelan Cole,JAC,WR,26,2,12.03,135,15.3,6.03,15.1,445
Sam Darnold,NYJ,QB,22,1,14.1,165.5,12.6,11.12,15.12,21
Saquon Barkley,NYG,RB,22,1,1.06,5.8,1.5,1.01,1.12,592
Ronald Jones,TBB,RB,22,1,8.04,87.5,10.4,4.08,10.02,246
Sony Michel,NEP,RB,24,1,7.07,79.4,8.7,5.02,9.04,580
Rashaad Penny,SEA,RB,23,1,7.02,73.6,8.7,4.01,9.01,418
Nick Chubb,CLE,RB,24,1,10.03,111.3,10.7,7.01,12.06,277
Kerryon Johnson,DET,RB,22,1,5.05,52.8,6.2,3.04,6.11,545
Royce Freeman,DEN,RB,23,1,3.06,29.6,4.1,2.01,4.07,754
John Kelly,LAR,RB,23,1,14.05,161.3,13.7,12.03,16.08,35
Calvin Ridley,ATL,WR,25,1,11.01,121,9.6,7.03,12.08,245
Courtland Sutton,DEN,WR,24,1,14.09,164.7,15,10.11,16.12,82
Christian Kirk,ARI,WR,23,1,14.1,166.1,11.2,12.06,15.12,45
D.J. Moore,CAR,WR,22,1,10.11,119.4,9.5,6.1,12.06,253
Anthony Miller,CHI,WR,25,1,13.06,150.4,13.7,10.02,15.11,177
Michael Gallup,DAL,WR,23,1,11.12,132,9.4,9.03,14.12,274
Mike Gesicki,MIA,TE,24,1,14.09,164.5,17.4,9.03,16.03,28
Daniel Carlson,OAK,K,24,1,14.12,168.2,27.4,1.02,16.07,85
Jordan Wilkins,IND,RB,25,1,13.03,147.4,15.8,9.04,15.12,360
