Name,Team,Position,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Deshaun Watson,HOU,QB,304.046,19.002875,2,5.544,35.098,51
Aaron Rodgers,GBP,QB,303.054,18.940875,3,10.013,34.106,53
Andrew Luck,IND,QB,293.95,18.371875,4,4.378,25.002,60
Cam Newton,CAR,QB,287.012,17.93825,6,7.934,18.064,68
Drew Brees,NOS,QB,280.69,17.543125,7,5.322,11.742,75
Russell Wilson,SEA,QB,277.466,17.341625,8,4.423,8.518,77
Dak Prescott,DAL,QB,272.816,17.051,10,2.274,3.868,88
Saquon Barkley,NYG,RB,271.42,16.96375,1,16.22,161.367,1
Ben Roethlisberger,PIT,QB,271.192,16.9495,11,1.423,2.244,90
Jameis Winston,TBB,QB,269.892,16.86825,12,1.416,0.944,93
Baker Mayfield,CLE,QB,269.646,16.852875,13,2.894,0.698,95
Tom Brady,NEP,QB,266.198,16.637375,15,4.5,-2.75,108
Carson Wentz,PHI,QB,263.612,16.47575,16,5.346,-5.336,122
Kirk Cousins,MIN,QB,259.784,16.2365,17,3.331,-9.164,138
Ezekiel Elliott,DAL,RB,258.8,16.175,2,8.58,148.747,2
Philip Rivers,LAC,QB,256.748,16.04675,18,3.539,-12.2,145
Mitchell Trubisky,CHI,QB,256.158,16.009875,19,7.762,-12.79,147
Christian McCaffrey,CAR,RB,251.6,15.725,3,12.38,141.547,3
Alvin Kamara,NOS,RB,248.84,15.5525,4,27.89,138.787,4
Kyler Murray,ARI,QB,246.532,15.40825,21,13.727,-22.416,179
Melvin Gordon,LAC,RB,229.6,14.35,5,18.225,119.547,5
Matthew Stafford,DET,QB,228.706,14.294125,23,8.104,-40.242,227
Andy Dalton,CIN,QB,215.348,13.45925,25,5.948,-53.6,258
Le'Veon Bell,NYJ,RB,212.3,13.26875,6,1.885,102.247,6
Todd Gurley,LAR,RB,210.45,13.153125,7,1.01,100.397,7
Marcus Mariota,TEN,QB,209.926,13.120375,26,2.566,-59.022,278
Sam Darnold,NYJ,QB,208.874,13.054625,27,10.309,-60.074,281
Julio Jones,ATL,WR,204.98,12.81125,1,2.435,100.007,9
DeAndre Hopkins,HOU,WR,203.96,12.7475,2,8.76,98.987,10
Davante Adams,GBP,WR,201.13,12.570625,3,14.445,96.157,12
Dalvin Cook,MIN,RB,195.95,12.246875,11,6.8,85.897,15
Derrick Henry,TEN,RB,192.12,12.0075,12,6.04,82.067,17
Eli Manning,NYG,QB,191.284,11.95525,29,47.538,-77.664,375
JuJu Smith-Schuster,PIT,WR,189.27,11.829375,4,5.62,84.297,16
Damien Williams,KCC,RB,185.98,11.62375,14,6.165,75.927,23
Antonio Brown,OAK,WR,184.1,11.50625,5,1.09,79.127,18
Odell Beckham,CLE,WR,181.7,11.35625,8,12.865,76.727,21
Leonard Fournette,JAC,RB,180.9,11.30625,15,3.855,70.847,24
Marlon Mack,IND,RB,173.54,10.84625,19,4.695,63.487,30
Keenan Allen,LAC,WR,169.3,10.58125,9,3.72,64.327,29
Joe Flacco,DEN,QB,169.068,10.56675,30,53.981,-99.88,509
T.Y. Hilton,IND,WR,168.37,10.523125,10,5.895,63.397,31
Kerryon Johnson,DET,RB,167.86,10.49125,21,3.315,57.807,34
Devonta Freeman,ATL,RB,165.85,10.365625,22,7.39,55.797,36
Sony Michel,NEP,RB,163.24,10.2025,23,10.605,53.187,40
Julian Edelman,NEP,WR,162.79,10.174375,11,1.595,57.817,33
Adam Thielen,MIN,WR,162.16,10.135,12,4.225,57.187,35
A.J. Green,CIN,WR,160.23,10.014375,13,6.105,55.257,38
Brandin Cooks,LAR,WR,155.64,9.7275,14,3.095,50.667,41
Kenyan Drake,MIA,RB,153.68,9.605,24,3.48,43.627,45
Amari Cooper,DAL,WR,152.48,9.53,16,5.495,47.507,43
George Kittle,SFO,TE,152.34,9.52125,2,23.715,68.637,26
Lamar Miller,HOU,RB,151.59,9.474375,25,5.5,41.537,46
Stefon Diggs,MIN,WR,150.33,9.395625,17,7.91,45.357,44
Mark Ingram,BAL,RB,148.81,9.300625,26,10.325,38.757,47
Zach Ertz,PHI,TE,139.15,8.696875,3,23.705,55.447,37
Sammy Watkins,KCC,WR,138.33,8.645625,21,2.985,33.357,54
Alshon Jeffery,PHI,WR,132.61,8.288125,23,5.465,27.637,58
Tevin Coleman,SFO,RB,128.08,8.005,29,4.855,18.027,69
Tarik Cohen,CHI,RB,126.96,7.935,30,8.115,16.907,70
Calvin Ridley,ATL,WR,125.14,7.82125,25,0.975,20.167,64
Robby Anderson,NYJ,WR,124.24,7.765,26,1.8,19.267,65
Allen Robinson,CHI,WR,120.79,7.549375,28,1.085,15.817,71
Jarvis Landry,CLE,WR,120.49,7.530625,29,4.885,15.517,72
Chicago Bears,CHI,DST,119.5,7.46875,1,7.15,7.967,79
Derrius Guice,WAS,RB,119.49,7.468125,31,1.715,9.437,76
Peyton Barber,TBB,RB,118.2,7.3875,32,2.45,8.147,78
O.J. Howard,TBB,TE,118.1,7.38125,4,6.905,34.397,52
LeSean McCoy,BUF,RB,117.35,7.334375,33,5.805,7.297,82
Miles Sanders,PHI,RB,114.15,7.134375,34,6.145,4.097,87
Evan Engram,NYG,TE,112.79,7.049375,5,6.75,29.087,57
Marvin Jones,DET,WR,112.29,7.018125,31,0.73,7.317,81
Baltimore Ravens,BAL,DST,111.8,6.9875,3,2.85,0.267,96
Tyreek Hill,KCC,WR,111.59,6.974375,32,2.13,6.617,83
Cleveland Browns,CLE,DST,109.9,6.86875,4,2.2,-1.633,105
Jared Cook,NOS,TE,109.6,6.85,6,10.47,25.897,59
Minnesota Vikings,MIN,DST,108,6.75,5,0.7,-3.533,112
Houston Texans,HOU,DST,107.4,6.7125,6,0.25,-4.133,114
New Orleans Saints,NOS,DST,107.2,6.7,7,0.25,-4.333,115
Los Angeles Chargers,LAC,DST,107.1,6.69375,8,0.45,-4.433,116
Jacksonville Jaguars,JAC,DST,106.8,6.675,9,0.4,-4.733,118
New England Patriots,NEP,DST,106.5,6.65625,10,0.25,-5.033,119
Indianapolis Colts,IND,DST,106.3,6.64375,11,0.15,-5.233,120
Buffalo Bills,BUF,DST,106.2,6.6375,12,0.15,-5.333,121
Pittsburgh Steelers,PIT,DST,106.1,6.63125,13,0.3,-5.433,123
Golden Tate,NYG,WR,106.06,6.62875,35,1.63,1.087,92
Denver Broncos,DEN,DST,106,6.625,14,0.5,-5.533,124
Philadelphia Eagles,PHI,DST,105.6,6.6,15,0.55,-5.933,125
Kansas City Chiefs,KCC,DST,105.4,6.5875,16,1.05,-6.133,127
Dante Pettis,SFO,WR,105.04,6.565,36,1.325,0.067,98
Carolina Panthers,CAR,DST,104.7,6.54375,17,1.2,-6.833,131
Arizona Cardinals,ARI,DST,104,6.5,18,1.25,-7.533,132
Dede Westbrook,JAC,WR,103.82,6.48875,37,0.89,-1.153,103
Larry Fitzgerald,ARI,WR,103.61,6.475625,38,1.595,-1.363,104
Seattle Seahawks,SEA,DST,103,6.4375,19,1.85,-8.533,135
Washington Redskins,WAS,DST,102.5,6.40625,20,3.1,-9.033,136
Hunter Henry,LAC,TE,102.48,6.405,7,9.07,18.777,67
Courtland Sutton,DEN,WR,101.78,6.36125,40,1.08,-3.193,110
Sterling Shepard,NYG,WR,100.99,6.311875,41,1.275,-3.983,113
Rashaad Penny,SEA,RB,100.9,6.30625,37,2.565,-9.153,137
Latavius Murray,NOS,RB,100.68,6.2925,38,8.12,-9.373,140
DeSean Jackson,PHI,WR,100.41,6.275625,42,1.5,-4.563,117
New York Jets,NYJ,DST,99.8,6.2375,21,1.3,-11.733,144
Kenny Stills,MIA,WR,99.02,6.18875,43,1,-5.953,126
Dallas Cowboys,DAL,DST,99,6.1875,22,1.25,-12.533,146
Mohamed Sanu,ATL,WR,98.8,6.175,44,3.22,-6.173,129
Tennessee Titans,TEN,DST,98,6.125,23,1.15,-13.533,150
Green Bay Packers,GBP,DST,97.5,6.09375,24,1.5,-14.033,152
Curtis Samuel,CAR,WR,97.24,6.0775,45,3.32,-7.733,134
Detroit Lions,DET,DST,96.2,6.0125,25,0.6,-15.333,155
Atlanta Falcons,ATL,DST,95.8,5.9875,26,0.8,-15.733,156
Eric Ebron,IND,TE,95.78,5.98625,8,5.895,12.077,74
San Francisco 49ers,SFO,DST,95.4,5.9625,27,1.1,-16.133,158
Cincinnati Bengals,CIN,DST,94.6,5.9125,28,0.7,-16.933,159
Miami Dolphins,MIA,DST,94,5.875,29,2,-17.533,161
Marqise Lee,JAC,WR,93.92,5.87,47,1.29,-11.053,142
Geronimo Allison,GBP,WR,93.92,5.87,46,0.275,-11.053,141
Tyrell Williams,OAK,WR,93.37,5.835625,48,1.51,-11.603,143
Marquise Goodwin,SFO,WR,91.89,5.743125,49,0.5,-13.083,148
Emmanuel Sanders,DEN,WR,91.83,5.739375,50,1.305,-13.143,149
Tampa Bay Buccaneers,TBB,DST,90.2,5.6375,31,0,-21.333,174
Ted Ginn Jr.,NOS,WR,90.1,5.63125,52,2.62,-14.873,154
Adrian Peterson,WAS,RB,89.13,5.570625,40,1.945,-20.923,171
Vance McDonald,PIT,TE,88.73,5.545625,10,4.555,5.027,85
Ito Smith,ATL,RB,88.18,5.51125,41,2.29,-21.873,177
Donte Moncrief,PIT,WR,87.52,5.47,53,0.165,-17.453,160
DK Metcalf,SEA,WR,87.44,5.465,54,0.845,-17.533,162
Jerick McKinnon,SFO,RB,86.19,5.386875,42,1.105,-23.863,181
Albert Wilson,MIA,WR,85.92,5.37,56,1.325,-19.053,167
Ronald Jones,TBB,RB,85.59,5.349375,43,1.065,-24.463,182
John Brown,BUF,WR,84.6,5.2875,57,0.38,-20.373,169
N'Keal Harry,NEP,WR,84.59,5.286875,58,0.765,-20.383,170
Nyheim Hines,IND,RB,84.58,5.28625,44,0.89,-25.473,185
Delanie Walker,TEN,TE,84.51,5.281875,11,0.76,0.807,94
Royce Freeman,DEN,RB,84.47,5.279375,45,2.01,-25.583,186
Austin Hooper,ATL,TE,83.84,5.24,12,0.205,0.137,97
DeVante Parker,MIA,WR,83.8,5.2375,60,0.385,-21.173,173
Jordan Reed,WAS,TE,83.61,5.225625,14,1.79,-0.093,100
Greg Olsen,CAR,TE,83.44,5.215,15,4.57,-0.263,101
Mecole Hardman,KCC,WR,83.4,5.2125,62,1.96,-21.573,176
Jamison Crowder,NYJ,WR,82.92,5.1825,63,3.1,-22.053,178
Dion Lewis,TEN,RB,82.91,5.181875,46,1.92,-27.143,193
D'Onta Foreman,HOU,RB,82.01,5.125625,47,2.255,-28.043,194
Oakland Raiders,OAK,DST,80.7,5.04375,32,0,-30.833,202
Kyle Rudolph,MIN,TE,80.2,5.0125,16,2.9,-3.503,111
Jamaal Williams,GBP,RB,79.97,4.998125,48,1.43,-30.083,200
Keke Coutee,HOU,WR,79.68,4.98,65,0.63,-25.293,184
Nelson Agholor,PHI,WR,79.15,4.946875,66,0.275,-25.823,187
DaeSean Hamilton,DEN,WR,78.95,4.934375,67,0.175,-26.023,188
Parris Campbell,IND,WR,78.8,4.925,68,0.18,-26.173,189
Marquez Valdes-Scantling,GBP,WR,78.23,4.889375,71,2.72,-26.743,192
Jack Doyle,IND,TE,77.54,4.84625,17,0.99,-6.163,128
Carlos Hyde,KCC,RB,77.54,4.84625,50,1.81,-32.513,204
Jimmy Graham,GBP,TE,77.06,4.81625,18,1.87,-6.643,130
Jaylen Samuels,PIT,RB,76.35,4.771875,51,1.63,-33.703,208
Ryan Fitzpatrick,MIA,QB,76.064,4.754,33,17.535,-192.884,595
Trey Burton,CHI,TE,76.04,4.7525,19,4.99,-7.663,133
Paul Richardson,WAS,WR,75.85,4.740625,72,0.695,-29.123,195
Taylor Gabriel,CHI,WR,75.17,4.698125,73,0.045,-29.803,196
Quincy Enunwa,NYJ,WR,74.95,4.684375,76,2.91,-30.023,199
C.J. Anderson,DET,RB,74.33,4.645625,53,1.37,-35.723,215
Jalen Richard,OAK,RB,73.14,4.57125,54,0.49,-36.913,219
Kalen Ballage,MIA,RB,72.78,4.54875,55,0.285,-37.273,220
Case Keenum,WAS,QB,72.746,4.546625,34,37.005,-196.202,596
Duke Johnson,CLE,RB,72.52,4.5325,56,2.8,-37.533,221
Kareem Hunt,CLE,RB,72.47,4.529375,57,5.625,-37.583,223
Danny Amendola,DET,WR,72.25,4.515625,77,0.75,-32.723,205
Willie Snead,BAL,WR,71.83,4.489375,78,0.745,-33.143,207
Zay Jones,BUF,WR,71.17,4.448125,79,0.18,-33.803,209
Giovani Bernard,CIN,RB,66.97,4.185625,58,1.84,-43.083,235
Gus Edwards,BAL,RB,66.72,4.17,59,4.905,-43.333,237
Tyler Eifert,CIN,TE,65.94,4.12125,22,3.76,-17.763,165
Cole Beasley,BUF,WR,65.85,4.115625,83,1.12,-39.123,225
Deebo Samuel,SFO,WR,65.68,4.105,84,1.955,-39.293,226
Tre'Quan Smith,NOS,WR,63.78,3.98625,85,0.94,-41.193,228
Randall Cobb,DAL,WR,63.67,3.979375,86,1.915,-41.303,229
Jason Witten,DAL,TE,63.55,3.971875,23,7.84,-20.153,168
Theo Riddick,DET,RB,63.54,3.97125,60,5.435,-46.513,242
Breshad Perriman,TBB,WR,62.01,3.875625,87,1.315,-42.963,233
Demarcus Robinson,KCC,WR,61.5,3.84375,88,3.66,-43.473,238
Frank Gore,BUF,RB,60.09,3.755625,61,4.035,-49.963,249
Travis Benjamin,LAC,WR,55.79,3.486875,90,1.52,-49.183,245
Rashard Higgins,CLE,WR,54.86,3.42875,91,1.24,-50.113,250
Alfred Blue,JAC,RB,52.22,3.26375,64,1.18,-57.833,271
Equanimeous St. Brown,GBP,WR,51.54,3.22125,94,2.29,-53.433,256
T.J. Yeldon,BUF,RB,50.54,3.15875,66,3.765,-59.513,280
Cameron Brate,TBB,TE,48,3,27,0.97,-35.703,214
Devontae Booker,DEN,RB,47.52,2.97,67,1.655,-62.533,286
Chris Hogan,CAR,WR,47.47,2.966875,96,1.64,-57.503,270
Vernon Davis,WAS,TE,46.8,2.925,30,3.28,-36.903,218
Rex Burkhead,NEP,RB,46.03,2.876875,68,1.235,-64.023,291
Elijah McGuire,NYJ,RB,45.7,2.85625,69,2.91,-64.353,294
Demaryius Thomas,NEP,WR,45.51,2.844375,98,3.34,-59.463,279
Gerald Everett,LAR,TE,45.34,2.83375,31,3.835,-38.363,224
Doug Martin,OAK,RB,43.89,2.743125,70,2.76,-66.163,302
Hakeem Butler,ARI,WR,42.82,2.67625,99,1.72,-62.153,284
Jace Sternberger,GBP,TE,41.7,2.60625,32,0.665,-42.003,230
Dontrelle Inman,NEP,WR,41.52,2.595,100,0.95,-63.453,289
Ian Thomas,CAR,TE,41.31,2.581875,33,0.59,-42.393,231
Hayden Hurst,BAL,TE,40.76,2.5475,34,0.705,-42.943,232
Tim Patrick,DEN,WR,40.68,2.5425,101,0.295,-64.293,293
Ricky Seals-Jones,ARI,TE,40.68,2.5425,35,1.385,-43.023,234
Wayne Gallman,NYG,RB,40.57,2.535625,72,2.305,-69.483,320
Jarius Wright,CAR,WR,40.31,2.519375,103,1.33,-64.663,297
Phillip Dorsett,NEP,WR,40.26,2.51625,104,2.61,-64.713,298
Geoff Swaim,JAC,TE,39.43,2.464375,36,1.685,-44.273,239
Malcolm Brown,LAR,RB,38.66,2.41625,73,1.185,-71.393,332
Justice Hill,BAL,RB,37.87,2.366875,74,0.81,-72.183,339
Terry McLaurin,WAS,WR,37.6,2.35,106,0.205,-67.373,307
Keelan Cole,JAC,WR,37.44,2.34,107,0.735,-67.533,309
Chester Rogers,IND,WR,37.35,2.334375,108,1.46,-67.623,310
Bilal Powell,NYJ,RB,37.04,2.315,76,0.66,-73.013,343
Jakeem Grant,MIA,WR,36.06,2.25375,109,0.395,-68.913,316
Seth Roberts,BAL,WR,35.72,2.2325,110,0.575,-69.253,318
Corey Coleman,NYG,WR,35.61,2.225625,111,1.14,-69.363,319
Cordarrelle Patterson,CHI,WR,34.68,2.1675,112,0.54,-70.293,323
Kahale Warring,HOU,TE,34.39,2.149375,40,0.39,-49.313,246
JJ Arcega-Whiteside,PHI,WR,34.26,2.14125,113,0.81,-70.713,327
Kendrick Bourne,SFO,WR,34.02,2.12625,114,1.15,-70.953,328
Irv Smith Jr.,MIN,TE,32.93,2.058125,43,0.75,-50.773,251
Laquon Treadwell,MIN,WR,32.88,2.055,115,0.065,-72.093,337
Kenneth Dixon,BAL,RB,32.74,2.04625,79,0.35,-77.313,372
Ed Dickson,SEA,TE,32.4,2.025,44,1.29,-51.303,253
Bryce Love,WAS,RB,32.04,2.0025,82,0.36,-78.013,379
