Name,Position,Team,Points,Pts-Game,CI-Low,CI-Hi,Ovr,Pos,CA-Low,CA-Hi,PassYds,PassTDs,PassInts,RushAtt,RushYds,RushTDs,WR-Rec,WR-Yds,WR-TDs
Patrick Mahomes,QB,KC,341.43,21.34,310.53,372.33,1,1,376.52,580.73,4672.86,38.74,13.61,49.17,179.79,1.84,0,0,0
Aaron Rodgers,QB,GB,338.84,21.18,306.49,371.19,2,2,382.33,602.81,4473.51,33.05,6.52,46.19,241.61,3,0.18,2.52,0
Andrew Luck,QB,IND,332.69,20.79,302.43,362.95,3,3,412.46,629.86,4601,37.42,13.27,53.9,177.08,1.81,0.28,5.64,0
Deshaun Watson,QB,HOU,326.22,20.39,294.02,358.42,4,4,335.18,502.1,4061.96,28.1,9.41,93.69,505.28,4.11,0.14,-1.03,0
Cam Newton,QB,CAR,323.04,20.19,292.32,353.76,5,5,329.83,520.81,3857.79,26.81,12.21,115.14,554.99,5.71,0.06,1.18,0
Russell Wilson,QB,SEA,320.77,20.05,290.37,351.17,6,6,286.18,446.21,3488.42,31.71,9.41,82.76,487.19,4.37,0.52,-0.23,0
Matt Ryan,QB,ATL,310.3,19.39,283.31,337.29,7,7,400.26,601.82,4626.72,32.07,11.5,44.06,144.96,1.52,0.12,0.6,0.12
Drew Brees,QB,NO,309.33,19.33,279.86,338.8,8,8,379.03,522.78,4437.05,32.34,8.45,30.83,84.76,2.24,0.14,-1.09,0
Baker Mayfield,QB,CLE,307.91,19.24,278.23,337.59,9,9,369.52,577.7,4603.63,33.89,12.01,47.16,165.83,0.78,0,0,0
Jameis Winston,QB,TB,306.24,19.14,277.9,334.58,10,10,375.63,596.51,4490.71,31.53,14.98,49.9,215.54,2.29,0.08,1.66,0
Lamar Jackson,QB,BAL,304.49,19.03,277.3,331.68,11,11,270.42,461.97,3358.71,16.8,13.03,192.1,899.61,7.1,0.1,0.45,0
Jared Goff,QB,LA,303.71,18.98,277.15,330.27,12,12,374.48,572.94,4765.4,32.47,11.34,31.5,63.95,0.51,0.06,-0.36,0
Ben Roethlisberger,QB,PIT,299.8,18.74,269.53,330.07,13,13,403.03,613.84,4813.47,31.35,13.82,16.69,53.69,1.15,0,0,0
Saquon Barkley,RB,NYG,295.18,18.45,256.69,333.67,14,1,0.14,0.14,0.42,0.12,0,272.14,1354.04,10.29,94.86,760.14,3.95
Ezekiel Elliott,RB,DAL,293.64,18.35,258.04,329.24,15,2,0.43,0.55,10.14,0.56,0,326.48,1518.8,11.85,77.94,548.43,2.79
Kyler Murray,QB,ARI,288.12,18.01,258.51,317.73,16,14,333.92,537.89,3823.3,23.96,14.89,94.89,514.94,3.84,0.32,-0.48,0
Philip Rivers,QB,LAC,286.49,17.91,257.01,315.97,17,15,364.89,548.41,4560.7,32.07,12.42,16.87,16.33,0.16,0.38,-1.15,0
Dak Prescott,QB,DAL,286.27,17.89,254.99,317.55,18,16,357.97,544,3998.12,24.34,11.18,70.65,299.54,4.75,0.34,-2.58,0
Christian McCaffrey,RB,CAR,286,17.88,248.91,323.09,19,3,0.32,0.46,16.51,0.32,0,224.14,1176.2,7.66,102.48,879.05,5.83
Carson Wentz,QB,PHI,285.95,17.87,255.77,316.13,20,17,380.37,590.56,4465.82,29.14,11.84,41.84,149.66,0.64,0.22,4.18,0.02
Tom Brady,QB,NE,282.93,17.68,253.38,312.48,21,18,370.37,575.05,4375.75,29.32,8.94,24.2,50.33,1.01,0,0,0
Mitchell Trubisky,QB,CHI,278.45,17.4,250.54,306.36,22,19,328.9,501.9,3731.1,25.81,14.28,70.63,426.64,2.59,0.22,0.11,0.12
Kirk Cousins,QB,MIN,276.36,17.27,248.07,304.65,23,20,426.58,614.53,4312.27,30.16,11.44,37.74,84.25,1,0.26,-1.71,0
Josh Allen,QB,BUF,274.39,17.15,239.08,309.7,24,21,267.81,485.64,3288.58,19.09,13.78,98.5,632.8,6.14,0.34,3.78,0.05
Alvin Kamara,RB,NO,266.92,16.68,235.26,298.58,25,4,0.04,0.04,1.97,0.04,0,196.31,894.79,10.52,84.19,784.63,5.97
Melvin Gordon,RB,LAC,257.87,16.12,220.74,295,26,5,0.02,0.02,0.51,0.02,0,227.11,1120.48,11.05,63.29,598.5,3.43
Jimmy Garoppolo,QB,SF,254.9,15.93,223.94,285.86,27,22,348.9,523.94,4052.23,23.32,13.08,40.52,195.92,2.21,0.12,2.76,0.12
David Johnson,RB,ARI,246.56,15.41,223.85,269.27,28,6,0.26,0.26,2,0.26,0,252.31,1056.8,7.73,76.34,738.62,3.68
Le'Veon Bell,RB,NYJ,245.27,15.33,211.83,278.71,29,7,0,0.27,0,0,0.08,276.86,1245.94,7.78,64.82,596.14,3.08
Marcus Mariota,QB,TEN,239.27,14.95,208.69,269.85,30,23,312.55,477.67,3413.62,19.15,13,76.28,366.97,3.25,0.56,4.09,0.1
Derek Carr,QB,OAK,238.01,14.88,209,267.02,31,24,380.57,565.74,4094.35,24.1,13.01,32.53,89.78,0.72,0.22,-1.56,0
Sam Darnold,QB,NYJ,232.78,14.55,206.46,259.1,32,25,327.82,545.58,3790.72,21.87,13.87,53.12,213.86,1.47,0.06,1.92,0
Matthew Stafford,QB,DET,228.91,14.31,201.61,256.21,33,26,370.43,566.3,4016.43,22.98,12.36,27.75,40.43,0.83,0,0,0
Nick Foles,QB,JAC,225.89,14.12,194.39,257.39,34,27,313.58,513.59,3474.37,22.8,11.36,27.39,136.04,1.59,0.08,3.26,0.08
Andy Dalton,QB,CIN,225.74,14.11,200.03,251.45,35,28,345.55,563.21,3710.06,24.44,12.69,38,85.16,0.91,0,0,0
Eli Manning,QB,NYG,224.17,14.01,201.08,247.26,36,29,350.73,592.37,3887.57,23.64,15.61,18.03,25.04,0.73,0.32,2.17,0.1
Joe Mixon,RB,CIN,217.41,13.59,185.94,248.88,37,8,0,0,0,0,0,272.06,1284.59,8.68,46.08,324.2,1.19
James Conner,RB,PIT,215.49,13.47,184.59,246.39,38,9,0.14,0.14,3.53,0.16,0,240.94,1039.27,9.11,63.57,498,1.65
DeAndre Hopkins,WR,HOU,215.41,13.46,187.23,243.59,39,1,0,0.53,0,0,0,0.44,2.34,0,105.13,1488.52,11.17
Davante Adams,WR,GB,211.56,13.22,184.98,238.14,40,2,0,0.16,0,0,0,0,0,0,107.88,1414.37,11.84
Nick Chubb,RB,CLE,210.06,13.13,176.03,244.09,41,10,0,0.08,0,0,0,262.21,1138.51,9.73,36.47,269.77,2.27
Damien Williams,RB,KC,209.15,13.07,182.04,236.26,42,11,0.18,0.18,4.24,0,0,205.08,952.98,8.54,51.83,421.82,3.66
JuJu Smith-Schuster,WR,PIT,207.66,12.98,181.36,233.96,43,3,0,0.06,0,0,0.06,0.46,3.36,0.02,106.4,1411.65,11.29
Julio Jones,WR,ATL,205.15,12.82,176.7,233.6,44,4,0,0.04,0,0,0,1.61,9.19,0,102.22,1559.41,8.08
Michael Thomas,WR,NO,203.81,12.74,176.47,231.15,45,5,0,0.02,0,0,0,0,0,0,110.91,1413.67,10.31
Odell Beckham,WR,CLE,202.96,12.69,179.03,226.89,46,6,0.4,0.4,9.93,0.09,0,4.51,11.49,0,90.35,1396.25,10.48
Dalvin Cook,RB,MIN,201.78,12.61,174.89,228.67,47,12,0,0,0,0,0,241.91,1116.57,6.07,64.45,487.26,1.48
Todd Gurley,RB,LA,200.94,12.56,178.12,223.76,48,13,0.08,0.3,2.71,0.08,0,193.21,946.86,8.82,45.48,416.62,2.03
Travis Kelce,TE,KC,194.94,12.18,170.17,219.71,49,1,0.06,0.06,2.96,0,0,0.08,0.44,0,101.87,1296.82,10.96
Devonta Freeman,RB,ATL,193.89,12.12,167.83,219.95,50,14,0,0.04,0,0,0,229.99,1022.38,8.52,51.09,370.75,1.46
Antonio Brown,WR,OAK,186.91,11.68,161.81,212.01,51,7,0,0,0,0,0,0,0,0,102.43,1247.72,10.54
Keenan Allen,WR,LAC,185.7,11.61,158.6,212.8,52,8,0,0,0,0,0,1.89,12.75,0,104.89,1364.89,7.89
Mike Evans,WR,TB,181.81,11.36,153.95,209.67,53,9,0,0,0,0,0,0,0,0,84.7,1315.78,8.02
Leonard Fournette,RB,JAC,181,11.31,151.43,210.57,54,15,0,0.06,0,0,0,268.78,1050.12,7.76,28.14,245.44,1.3
T.Y. Hilton,WR,IND,179.8,11.24,152.5,207.1,55,10,0,0,0,0,0,0,0,0,79.58,1354.16,7.1
Aaron Jones,RB,GB,179.06,11.19,149.13,208.99,56,16,0,0.02,0,0,0.02,182.25,936.49,7.9,40.34,307.82,1.59
Sony Michel,RB,NE,178.47,11.15,151.17,205.77,57,17,0.1,0.24,1.21,0.04,0,246.24,1155.8,9.01,10.19,88.12,0.48
Phillip Lindsay,RB,DEN,175,10.94,145.99,204.01,58,18,0,0,0,0,0,203.54,1018.07,7.2,37.01,262.97,0.84
Marlon Mack,RB,IND,173.56,10.85,140.82,206.3,59,19,0,0,0,0,0,211.87,985.08,7.85,32.65,248.49,0.91
Josh Jacobs,RB,OAK,173.11,10.82,144.62,201.6,60,20,0,0.13,0,0,0.02,223.49,937.7,6.2,50.28,364.11,1.67
Adam Thielen,WR,MIN,172.21,10.76,148.78,195.64,61,11,0.08,0.08,1.13,0,0,3.09,9.3,0,93.16,1227.88,8.27
Kenyan Drake,RB,MIA,170.17,10.64,142.3,198.04,62,21,0.02,0.06,0.2,0.02,0.04,172.2,787.02,4.67,56.9,505.65,2.53
Stefon Diggs,WR,MIN,170.02,10.63,144.9,195.14,63,12,0.33,0.66,10.44,0.3,0.12,6.25,14.08,0,94.12,1187.99,8.44
Derrick Henry,RB,TEN,169.51,10.59,140.77,198.25,64,22,0.12,0.12,4.42,0.18,0,247.67,1105.12,8.15,15.06,103.74,0.27
A.J. Green,WR,CIN,169.47,10.59,140.01,198.93,65,13,0.12,0.12,0.32,0.12,0,0.03,-0.11,0,81.06,1173.42,8.65
Chris Carson,RB,SEA,169.44,10.59,142.31,196.57,66,23,0,0.1,0,0,0,233.74,1081.57,7.11,22.15,167.58,0.92
Kerryon Johnson,RB,DET,168.94,10.56,142.44,195.44,67,24,0,0,0,0,0,215.31,1038.06,5.32,40.76,291.65,1.1
Amari Cooper,WR,DAL,168.85,10.55,146.9,190.8,68,14,0,0,0,0,0,0.73,4.98,0,85.53,1183.71,8.48
Robert Woods,WR,LA,168.22,10.51,143.28,193.16,69,15,0,0.02,0,0,0,8.79,64.87,0.5,78.48,1191.63,6.56
Julian Edelman,WR,NE,168.19,10.51,143.39,192.99,70,16,0.66,0.68,11.2,0.04,0,8.41,84.64,0.77,99.02,1140.62,6.99
Mark Ingram,RB,BAL,164.64,10.29,138.42,190.86,71,25,0,0,0,0,0,225.25,950.46,7.14,30.24,247.37,0.59
James White,RB,NE,163.9,10.24,143.06,184.74,72,26,0.13,0.13,0.13,0.14,0,76.38,351.34,3.36,79.73,741.76,5.84
Brandin Cooks,WR,LA,163.09,10.19,138.53,187.65,73,17,0,0,0,0,0,4.34,23.37,0.22,75.21,1143.32,7.54
Sammy Watkins,WR,KC,160.36,10.02,140.39,180.33,74,18,0,0,0,0,0,3.54,24.8,0,74.06,1016,9.49
Tarik Cohen,RB,CHI,158.14,9.88,132.91,183.37,75,27,0.06,0.24,1.77,0.08,0.14,122.9,537.68,3.93,70.97,641.61,3.28
Chris Godwin,WR,TB,155.13,9.7,129.48,180.78,76,19,0,0,0,0,0,0,0,0,76.29,1101.92,7.45
Tevin Coleman,RB,SF,153.29,9.58,128.53,178.05,77,28,0,0.09,0,0,0,182.7,834.78,5.79,34.66,303.91,1.45
George Kittle,TE,SF,153.06,9.57,123.88,182.24,78,2,0,0,0,0,0,0.34,0.02,0.02,88.05,1183.11,6.19
Lamar Miller,RB,HOU,142.63,8.91,119.24,166.02,79,29,0,0,0,0,0,209.16,873.17,5.09,27.71,198.97,1.13
Kenny Golladay,WR,DET,140.43,8.78,116.75,164.11,80,20,0,0,0,0,0,0.52,3.52,0,72.76,1072.92,5.46
Cooper Kupp,WR,LA,139.86,8.74,112.34,167.38,81,21,0,0.12,0,0,0,2.01,14.72,0,69.36,932.12,7.95
Zach Ertz,TE,PHI,138.8,8.68,118.84,158.76,82,3,0.04,0.04,1.89,0,0,0,0,0,86.58,989.36,6.63
Calvin Ridley,WR,ATL,134,8.38,113.18,154.82,83,22,0,0.22,0,0,0.02,4.99,26.43,0,66.5,855.9,7.89
Tyler Lockett,WR,SEA,133.1,8.32,110.28,155.92,84,23,0,0.02,0,0,0.02,6.48,39.19,0.22,61.48,886.88,6.69
Derrius Guice,RB,WSH,130.06,8.13,100.76,159.36,85,30,0,0.28,0,0,0,170.79,783.02,4.32,24.77,217.81,1.19
Alshon Jeffery,WR,PHI,129.26,8.08,109.14,149.38,86,24,0,0.06,0,0,0,0,0,0,63.34,908.54,6.34
Tyler Boyd,WR,CIN,126.92,7.93,109.13,144.71,87,25,0,0.16,0,0,0,0.14,-0.7,0,69.89,928.87,5.72
Mike Williams,WR,LAC,126.51,7.91,105.24,147.78,88,26,0,0.12,0,0,0,2.85,16.17,0,55.55,809.76,7.28
Allen Robinson,WR,CHI,126.3,7.89,98.06,154.54,89,27,0.26,0.26,10.95,0,0,0.8,2.74,0.24,65.27,868.05,6.27
David Montgomery,RB,CHI,123.57,7.72,104.47,142.67,90,31,0,0.27,0,0,0,174.11,752.32,4.58,20.64,163.71,0.95
Darrell Henderson,RB,LA,122.84,7.68,102.36,143.32,91,32,0.06,0.1,0.21,0.06,0,165.56,710.19,4.09,27.64,207.42,1.07
D.J. Moore,WR,CAR,120.9,7.56,97.33,144.47,92,28,0.12,0.14,0.4,0,0.03,11.51,108.05,0,64.46,867.65,4.14
Hunter Henry,TE,LAC,118.67,7.42,94.52,142.82,93,4,0,0,0,0,0,0,0,0,56.72,715.38,7.94
Robby Anderson,WR,NYJ,118.2,7.39,98.11,138.29,94,29,0,0,0,0,0,1.45,3.46,0,56.91,866.23,5.4
Jordan Howard,RB,PHI,117.63,7.35,94.35,140.91,95,33,0,0.09,0,0,0,188.91,750.79,5.39,23,121.95,0.24
O.J. Howard,TE,TB,117.48,7.34,92,142.96,96,5,0,0,0,0,0,0,0,0,56.28,791.2,6.54
Case Keenum,QB,WSH,117.18,7.32,102.99,131.37,97,30,161.79,270.56,1741.86,10.89,7.67,25.63,124.32,1.45,0.2,0.46,0.07
Jarvis Landry,WR,CLE,116.32,7.27,91.3,141.34,98,30,0.27,0.82,16.45,0.03,0,2.12,15.26,0.12,75.95,865.1,4.81
Marvin Jones,WR,DET,116.09,7.26,92.57,139.61,99,31,0.12,0.12,0.36,0.12,0,0,0,0,53.43,822.72,5.59
Golden Tate,WR,NYG,115.81,7.24,92.46,139.16,100,32,0.06,0.25,1.18,0,0.06,3.93,37.13,0.15,75.4,816.7,4.96
Latavius Murray,RB,NO,115.34,7.21,98.68,132,101,34,0,0,0,0,0,165.72,724.86,6.02,11.84,65.87,0.07
Joe Flacco,QB,DEN,115,7.19,98.16,131.84,102,31,172.6,306.54,1915.42,11.51,6.69,14.31,30.95,0.71,0.07,2.07,0.08
Will Fuller,WR,HOU,114.8,7.18,93.89,135.71,103,33,0.04,0.22,0.67,0,0.08,0.46,2.15,0,54.72,776.25,6.41
Kenny Stills,WR,MIA,114.24,7.14,84.4,144.08,104,34,0.22,0.22,0.77,0.22,0,0,0,0,50.12,795.66,5.51
Sterling Shepard,WR,NYG,113.39,7.09,94.45,132.33,105,35,0.04,0.04,0.44,0,0,1.57,6.86,0,66.5,846.64,4.84
Evan Engram,TE,NYG,113.12,7.07,89.46,136.78,106,6,0.16,0.16,9.35,0.21,0,0.68,10.52,0,71.67,812.86,5.08
Ryan Fitzpatrick,QB,MIA,112.7,7.04,99.47,125.93,107,32,167.06,272.85,1909.93,11.49,7.73,18.9,72.07,0.3,0.24,2.83,0
Courtland Sutton,WR,DEN,111.94,7,90.46,133.42,108,36,0,0,0,0,0,0.47,0.74,0,51.45,784.74,5.5
Peyton Barber,RB,TB,111.73,6.98,95.55,127.91,109,35,0,0.2,0,0,0,197.48,758.45,4.11,18.01,97.77,0.43
Corey Davis,WR,TEN,110.71,6.92,89.12,132.3,110,37,0.02,0.02,0.32,0,0,1.76,24.41,0,61.59,806.69,4.74
Josh Rosen,QB,MIA,110.51,6.91,96.6,124.42,111,33,168.96,275.96,1827.5,10.48,8.94,21.97,107.95,0.85,0.19,0.72,0
Austin Ekeler,RB,LAC,110.33,6.9,86.03,134.63,112,36,0,0.06,0,0,0,91.76,471.63,2.55,37.31,357.33,2.31
Dwayne Haskins,QB,WSH,109.7,6.86,92.39,127.01,113,34,183.98,299.73,2022.85,11.06,8.71,11.84,26.8,0.42,0.14,-0.2,0
Drew Lock,QB,DEN,108.81,6.8,94.07,123.55,114,35,159.73,259.2,1783.82,9.63,7.51,28.08,121.92,0.76,0.15,0.06,0
Larry Fitzgerald,WR,ARI,106.34,6.65,87.63,125.05,115,38,0.32,0.32,9.49,0.32,0,0,0,0,64.3,701.91,5.71
Tyreek Hill,WR,KC,106.01,6.63,91,121.02,116,39,0,0,0,0,0,2.84,20.69,0.15,43.47,693.15,5.68
LeSean McCoy,RB,BUF,103.71,6.48,85.1,122.32,117,37,0.18,0.22,3.4,0.2,0,173.96,588.23,2.95,26.01,221.14,0.78
